1,"Watch your favourite Pakistani Dramas, Movies and TV Series using Zong’s Fastest Mobile Internet. For Details:… https://t.co/qcXKmimMJc"
2,"@ZahirPost Apne number pr maujood arzi taur per band services kay baare mein janne or de-activate kerne kay liye ""L… https://t.co/KvkTTZRnxX"
3,@zeeni_U We are connected with you via DM :)
4,"@zeeni_U Please DM us your usage details, we will suggest you best bundle according to your usage."
5,"@zeeni_U Hi, Please let us know if you need any assistance regarding Zong Services."
6,"All your favourite packages of SMS, Internet and Voice are now at one place #Zong4G Online Shop!… https://t.co/vXK8zGGpY2"
7,@tzash Your required details have been shared kindly check your message box and let us know if still any assistance is required.
8,"@tzash Hi, We definitely want to get this addressed for you, please DM your Zong number for further facilitation."
9,@aamirabbas_ You cannot use GSM SIM in your Zong MBB device.
10,"@aamirabbas_ Hi Aamir, You can only use Zong MBB SIM in your Zong MBB device which is mapped against your device."
11,"@ChotayAbbu Hi Abid, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance."
12,"@milkmann007 Hi Arham, We totally understand the inconvenience you are experiencing, please DM your Zong number for extended facilitation."
13,"@afzalaslam5785 Hi Afzal, Thank you for being part of Zong family"
14,#Zong4G collaborates with Bookme.pk to deliver your tickets free at your doorstep. https://t.co/pJIAppuvJU
15,"@SheikhNaveed Hi, We are connected with you via DM."
16,@MianAliHumayun Thank you :)
17,"@pakvoices @PTCLOfficial @OfficialWarid @Ufone @jazzpk Hi, We definitely want to get this addressed for you, please… https://t.co/2P9Wbaaawd"
18,"@MianAliHumayun Hi Ali, Well this is not the kind of experience we want you to have. Please DM your Zong number for extended facilitation."
19,"@mahboob1ch You have been replied, Kindly check your message box for further assistance"
20,"@shamylmansoor Hi Shamyl, We totally understand the inconvenience you are experiencing, please DM your Zong number… https://t.co/SCSwOFdzrc"
21,"@mahboob1ch Hi Mahboob, We definitely want to get this addressed for you, please DM your Zong number for further facilitation."
22,"Get a free Zong PLUS ONE SIM with free Internet Volume, Voice Minutes &amp; SMS. For more details visit: … https://t.co/VWSiUvM2VG"
23,"@tzash We are already connected with you via DM, please check your details"
24,"@tzash Hi, Please allow us a chance to look into your concern. Kindly share your Zong Data SIM number in message box for further assistance."
25,"@atifmtz We are already connected with via DM, Please check your details"
26,"@atifmtz Hi Atif, Well this is not the kind of experience we want you to have. Please DM your Zong number for extended facilitation."
27,"@xaqubz Hi Yaqub, We totally understand the inconvenience you are experiencing, please DM your MBB Zong number for extended facilitation."
28,"@ZahirPost Hi, Kindly aap apna masala humay message main send kijiye apko accordingly guide kar dia jaye ga."
29,"@Kawish_Breaking Hi, Sorry apko parishani ka samna karna parha, ap please apna Zong number DM mai send kijiye."
30,"@MuzzammilAli14 Hi Ali, Thank you for your suggestion and it would definitely be considered"
31,Zong Postpaid &amp; Prepaid customers can dial outgoing calls to Saudi Arabia in just PKR 5+Tax/ Minute. Please visit:… https://t.co/5n5cYdEbe2
32,@ucantstopme00 Glad you like our services :)
33,"@DRmhussain3 Hi, We are sorry for inconvenience caused, please DM your Zong number along with your address details for assistance."
34,"@mohamedinfas201 @HaadeaP Hi, please DM your Zong number for further assistance."
35,Subscribe now to MBB Monthly 50GB Bundle and get Extra 15GB Volume absolutely FREE. For more details visit:… https://t.co/WmraQqLiB3
36,@HaadeaP You are welcome :)
37,@HaadeaP Yes you can replace your SIM from franchise or retailer shop.
38,"@HaadeaP Hi, We are not offering SIM delivery services, Please visit nearest Zong CSC/Franchise/retailer shop along… https://t.co/BdaaKiN1G0"
39,@ImZeesh Please DM your Zong MBB number for assistance.
40,@real_javed We are pleased to serve you.
41,"@real_javed Please see the link for details
https://t.co/LBwuCcQE0E"
42,"@ImZeesh We are sorry, All MBB devices are mapped with their own SIMs, you can not use other SIM in device."
43,"@real_javed Please see the link for details
https://t.co/LBwuCcQE0E"
44,@real_javed You can avail Acquisition Offer.Dial *10# and press 1 and recharge rs 100 or more to Get 2000 MBs for 3… https://t.co/wBPqH0y3de
45,"@real_javed Zong Franchise Address in Jampur Road,Toba Tek Singh. is: Jampur Road Block # 14 Shop # 28/29 DG Khan"
46,"@real_javed Please check your previous posts, you were replied there."
47,"@ImZeesh Hi, Please contact your respective university administration in this regard."
48,@real_javed You can avail Acquisition Offer.Dial *10# and press 1 and recharge rs 100 or more to Get 2000 MBs for 3… https://t.co/paEizhctrO
49,"@real_javed On port in you will get Economy Package along with Rs 50 balance.
&amp;double volume offer &amp;100 pe 100 rech… https://t.co/TJxq2Sg8WD"
50,"@real_javed Hi, We are offering different exciting offers. 1/3"
51,@NNabeelawan77 You are Welcome.
52,"@NNabeelawan77 Hi Nabeel, Es hawaly sey mukamal details kay leye es link per visit kijiye, https://t.co/3FeGkX2LpX"
53,"All your favourite packages of SMS, Internet and Voice are now at one place #Zong4G Online Shop!… https://t.co/1Imyz6PSS8"
54,@SumayaMehmood Thank you.
55,@phuckwut You are Welcome.
56,"Access all your account details in one place with My Zong App.
Apple: https://t.co/pVZk95wcHm 
Android:… https://t.co/8WII2GdKfU"
57,"@ahkhan_ Hi, Kindly DM your issue along with your number for better assistance."
58,"@fahidjavid We are already connected with you via DM, please check your details"
59,"@fahidjavid Hi Fahid, We totally understand the inconvenience you are experiencing, please DM your Zong number for extended facilitation."
60,@ZahirPost Kindly check your message box for further assistance
61,"@ZahirPost Hi, Please message us your issue along with your problematic Zong number, so that we may assist you better."
62,"@Kawish_Breaking Hi, Kindly apna number, mukamal maslay ki details kay sath DM kijiye takay aap ki mukmal rehnumai ki ja sakay."
63,@Zhassan2574 :)
64,"@AamAwam We are already connected with you via DM, Please check your details"
65,"@AamAwam Hi, We totally understand the inconvenience you are experiencing, please DM your Zong number for extended facilitation."
66,"@fahimk527 Hi Fahim, Kindly check your DM for further assistance"
67,"@hyabdola @Ufone Hi, It’s our mission to provide best services to our respectable customers, so that they always bo… https://t.co/9fNVBUGPfR"
68,"@SualehAhmed Hi Sualeh, Your satisfaction is reward for us. Thank you :)
#Happytoserve"
69,@manj259 You are Welcome
70,Get amazing discounts on Find My Adventure Portal with #Zong4G #FindMyAdventure https://t.co/YRVMM6CJaO
71,@AbdurRa655 Kindly ap apna Zong number humein message box mein share kijyey taky ap ko further guide kiya ja saky
72,"@AbdurRa655 Hi, We totally understand the inconvenience you are experiencing, please DM your Zong number for extended facilitation."
73,"@FidaHussainkho3 Hi Fida, We are already connected with you via DM, please check your details for further assistance"
74,"@FidaHussainkho3 Hi Fida, We are already connected with you via DM, please check your details"
75,"All your favourite packages of SMS, Internet and Voice are now at one place #Zong4G Online Shop!… https://t.co/u65ma0Zb0J"
76,"@fkdharejo Hi Faheem, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance."
77,"@jamil_muhammad1 Hi Jamil, Thank you for your suggestion and it would definitely be considered."
78,"@manj259 Hi Azeem, Please explore the link for your desired details.
https://t.co/ZG2FSCPsTE"
79,"@mirfankan Hi Irfan, You cannot use HEC MBB SIM in your handset, you can only use it in your HEC mapped MBB device."
80,"#Zong4G launches Prepaid Roaming, Voice &amp; SMS Bundles for UAE for the very first time. For more details, visit:… https://t.co/GjTwP4pRWV"
81,"@SaadGhazwani Hi Saad, Kindly DM us your Zong number and other contact number so that we connect you for further assistance"
82,"@illahibux05 Hi, We are connected with you via DM, please check your details for further assistance"
83,"@illahibux05 Hi, We definitely want to get this addressed for you, please inbox your Zong number for further facilitation."
84,"@shamazk13 Hi Shamaz, Your satisfaction is reward for us. Thank you :)
#Happytoserve"
85,Get premium deals on Disconto with #Zong4G Download Now: https://t.co/bPBQ8wVTgC https://t.co/DbY36GoxtV
86,@le_me_be Thank you :)
87,"@le_me_be Hi, Kindly ap apna Zong number humein message box mein share kijyey taky ap ky behtar rehnumaye ky ja saky"
88,@sunnywbzx @WithDueRespct You are Welcome :)
89,@WithDueRespct Thank you for being part of Zong family :)
90,@FantabulousAf Rs 70/week. Taxes charge hongy agar laagu hain. 2/2
91,"@FantabulousAf Hi, Weekly Premium package activate karnay kay liye sms send kijiye ""weekly"" to 6464 aur hasil kijiye 700 MB data 1/2"
92,Never miss out on your favorite movies anymore! Zong &amp; Bookme.pk are here to make life easy for you. So Start booki… https://t.co/TiJJJAn5k4
93,"@mishneeb Hi, To check remaining minutes dial *102*2#, charges are Rs. 0.10 +Tax"
94,"@Luqmanshahzad99 Hi, Ge farmaye hum apki help kay liye available hain."
95,"@mustu90 Hi Mustafa, Zong customers are our most valuable asset and your feedback helps us serve you better #Happytoserve"
96,"@daily_jcdnews @hamzakhan_siyal Hi, Kindly ap apna Zong number humein DM kijyey taky ap ky further rehnumaye ky ja saky"
97,"@NoWeedHassan Hi Naveed, Kindly DM us your Zong number for further assistance"
98,"@alvirasaysthat (discounted price Rs 2500). For booking please visit the given link https://t.co/Tm67w1fEOi 
2/2"
99,"@alvirasaysthat Hi Alvira, We are offering Azadi offer for our valuable customers.
Book Fiber-Home MBB device onlin… https://t.co/l8qRC5WAmi"
100,"Exclusive discount of Rs.500 on #Zong4G Bolt+Device.
The offer ends at midnight 15th August. Order now:… https://t.co/kHFtiSqUDe"
101,"@Awaiszap390 Please check your DM, you were replied."
102,"@Awaiszap390 Hi, We are offering 15GB data extra on 50 GB data bundle, please share your MBB number in DM for assistance."
103,"@iamRajuKhan Hi, you can avail Acquisition offer. Dial *10# &amp; press 1 &amp; recharge Rs 100 or more to Get 2000 MBs for… https://t.co/sTdGDBderU"
104,"All your favourite packages of SMS, Internet and Voice are now at one place #Zong4G Online Shop!… https://t.co/DdICbOEOvD"
105,"@Bilal_Juttt Hi, Please Ap apna Zong number DM kijeye Ap ki rehnumai ki jai ge."
106,@rayasadali Thank you for appreciating our services.
107,"@antolaxmanbhai @nestlepakistan Shukriya 
#IndependanceDaySpecial"
108,@syeshsibtain Thank you for being part of Zong family :)
109,"@rubrubarubai Hi Ruba, Please confirm, you want to know about Zong GSM SIM internet bundles, Zong MBB device bundle… https://t.co/0Wnga8vFCB"
110,"Watch your favourite Pakistani Dramas, Movies and TV Series using Zong’s Fastest Mobile Internet. For Details:… https://t.co/c5JnmKpH2n"
111,@sadiasahar2000 We are connected with you via DM
112,"@sadiasahar2000 Hi, We definitely want to get this addressed for you, please inbox your Zong number for further facilitation."
113,"@RalphJMartins You are Welcome :) 
Glad to assist you."
114,"@RalphJMartins You may visit tomorrow, then MNP process will start as per your request."
115,"@RalphJMartins Hi, Please visit nearest Zong office along with your SIM and CNIC. Successful MNP process takes 4 working days. Thank you"
116,"@ali_eyez66 Thank you :)
#IndependanceDaySpecial"
117,@maqib114 Link to explore is https://t.co/Tm67w1fEOi 2/2
118,"@maqib114 Hi, Through azadi offer (10th August till 15th August, 2017) you can avail 17% discount on booking of 4g… https://t.co/oXL7pUCoOZ"
119,"@Imran_khan_Mayo Thank you Imran :)
Stay connected with #Zong4G #IndependanceDaySpecial"
120,"@TelecomeNews @ZoNG4G Hi, Explore the given link and enjoy the virtual tour of Quaid's birthplace :)"
121,"@DrShoaibafridi Hi Dr. Shoaib, Kindly connect us in DM along with your MBB number so that we may proceed."
122,"@DrShoaibafridi Hi Dr. Shoaib, Kindly connect to us in DM along with your Zong number and we will cater your complaint there."
123,"@ahmadhasan87 Hi, sure :) We are connected to you in DM"
124,"@jholaylolz Hi, Apologies for the inconvenience. Kindly share the Zong number via DM"
125,"@hamzaq3 Hi, Would you please share with us, your Zong number through DM."
126,"@fkdharejo Hi, Inconvenience regretted, kindly DM us the problematic number and we'll go from there."
127,"@Etsham_ Hi, Sure, We are already connected to you in DM :)"
128,@iamRajuKhan @jazzpk @warid @Ufone Link to explore is https://t.co/Tm67w1fEOi (2/2)
129,"@iamRajuKhan @jazzpk @warid @Ufone Hi, Through azadi offer (10th August till 15th August, 2017) you can avail 17% d… https://t.co/SobVMoGdRn"
130,A very happy 70th Independence Day from #Zong4G https://t.co/3kO1bYp4yp
131,@call_me_Uncle :)
132,@call_me_Uncle Thank you for your trust
133,"@BurhanULhaq @FIA_Pakistan Hi, We totally understand the inconvenience you are experiencing, please DM your Zong nu… https://t.co/UVFPZtVPnK"
134,"@AliRazaSKT Hi Ali, Kindly DM us your Zong number for further assistance"
135,"@SamirNawaz5 Hi Samir, Please explore the given link to check the heritage of Pakistan #Independanceday # Zong4G"
136,"@HamadRaza76 Device book karwany kay bad ap ko Zong CSC visit karna hoga, Mazeed details kay liye dia gya link visi… https://t.co/yFmerRtAfx"
137,@HamadRaza76 Azadi offer main apko 10th August se lay kar 15th August tak 4G bolt + Fiberhome device book karwany p… https://t.co/0qH9lHXtaq
138,"@HamadRaza76 Hi Hamad, Free MBs ky hawaly sy filwaqt update mujood nahi hy ap Azadi offer MBB Fiber home device per haasil kar sakty hein"
139,This #IndependenceDay #Zong4G gives us a tour of Quaid-e-Azam’s birthplace. Click this link to start the tour:… https://t.co/iCrit4Rm9O
140,"@bluntfactor @rayasadali Hi Annie, We definitely want to get this addressed for you, please inbox your Zong number for further facilitation."
141,"@RajaImran288 Hi Imran, We are offering Super weekly and weekly premium offers for our internet users, Please explo… https://t.co/M0a4BO2EmM"
142,"@kusiddiqui Hi Kamran, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance"
143,"@rayasadali Hi, We continuously strive to provide best network to our customers #Zong4G :)"
144,"@CaritadeAimen Hi, We totally understand the inconvenience you are experiencing and we are connected with you via DM."
145,"@ahmadbilal19233 Hi, Ap kindly apna issue aur Zong number hamai DM kijiye taah’kay apke bahtar rahnumai ke ja saky.… https://t.co/01NJN99Lxb"
146,@kanxsy You are Welcome :)
147,@shehzaibbajwa Thank you and we are connected with you via DM.
148,"@wahajsheikh007 Hi Wahaj, We are connected with you via DM"
149,"@kanxsy Hi, We definitely want to get this addressed for you, please inbox your Zong number for further facilitation."
150,"@Saad_iAm Hi Saad, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance."
151,@Deadhomie1 Glad you like it :)
152,"@OmerMJanjua Hi Omer, Kindly DM us your Zong number so that we check details for you"
153,"@SaifAli43712594 Please explore the given link for complete details and information
https://t.co/LBwuCcQE0E"
154,@SaifAli43712594 You are Welcome :)
155,"@n0tyourbhai Hi Rao, Kindly DM us your Zong number for further assistance"
156,"@HamadRaza76 Hi Hamad, Ap ko data services per provincial taxes ada kerna hoty hein, Ap apna number DM kijyey taky… https://t.co/gVhfSQGH5K"
157,"@SHAHEENKHAN11 Hi Roohullah, Internet bundle ky prices change nahi ky gaye hein, kindly ap apna number DM kijyey ta… https://t.co/iAFgoLU2h6"
158,"@HamadRaza76 Hi Hamad, Internet bundle ky prices change nahi ky gaye hein, kindly ap apna Zong number DM kijyey tak… https://t.co/JfWsY4wVq0"
159,#Zong4G collaborates with Bookme.pk to deliver your tickets free at your doorstep. https://t.co/q8cOQ6fdNe
160,"@WaqarChishti4 Please explore the given link for complete details 
https://t.co/ZnygAloCvf"
161,"@WaqarChishti4 Hi Waqar, We are offering different packages which includes daily, weekly and monthly offers but cur… https://t.co/gDEEOjDBXm"
162,"@shehzaibbajwa Hi Shehzaib, We totally understand the inconvenience you are experiencing, please DM your Zong numbe… https://t.co/TzCcyTy6xy"
163,"@arehman_991 Hi, Thank you for sharing your feedback. Zong always believe in moving forward in light of its customer’s feedback."
164,@Maahtab_ALi We are connected with you via DM.
165,"@a_socialanimal Hi, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance."
166,"@Maahtab_ALi Hi Mahtab, We definitely want to get this addressed for you, please DM your Zong number for further facilitation."
167,"@AminaBaig3 @Abdullah_Naeem @Ufone Hi, Thank you for sharing. Kindly keep using Zong services. #Zong4G"
168,@_MUKHTIARBALOCH 4G Service area mai izafay kay hawaly say kam tezi say jari hai jald he mazeed elaqoon mai service… https://t.co/KlZEYF5uqy
169,@_MUKHTIARBALOCH Zong radio TV activation kay liye Sub likh ker 7879 pe bhejain. Daily charges Rs.1+tax/day hain.
170,"@_MUKHTIARBALOCH Hi, Zong Radio TV service is details kay liye please link visit kijiye.
https://t.co/Rpx1kYQ7vj"
171,"@_ATariq_ Hi, Your have been guided kindly check your message box and let us know if still any assistance is required."
172,@aneestakar We are connected with you via message box.
173,@aneestakar @zong Please share your Zong number through message box.
174,"@AllahKarim786 Hi Najam, Give us a chance to look into your concern. Kindly share your contact number in message box for further assistance."
175,"@aneestakar @zong Hi Anees, We definitely want to get this addressed for you, please DM your Zong number for further facilitation."
176,"@CaritadeAimen Hum ap saath already connected hein, Kindly ap apna message box check kijyey taky further guide kiya ja saky"
177,"@NoorPeerZada1 Hi, Kindly ap apna Zong number humein DM kijyey apny mukamal details ky saath taky apky further help ky ja saky"
178,"All your favourite packages of SMS, Internet and Voice are now at one place #Zong4G Online Shop!… https://t.co/2i1hUCp6Sc"
179,"@CaritadeAimen @telenorpakistan @jazzpk Hi, We are already connected with you via DM, please check your details"
